Location,Cross_Street,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Crime_Category
13900    POLK                         ST,,34.3238,-118.4387,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,2215.0,19.0,Mission,1904.0,2.0,2000 0401 1813,29.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
19100    INGOMAR                      ST,,34.212,-118.5492,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,830.0,10.0,West Valley,1001.0,2.0,0400 2000 0913 1814 0444,26.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
400 S  OXFORD                       AV,,34.0672,-118.3079,01/22/2020 12:00:00 AM,01/22/2020 12:00:00 AM,1345.0,20.0,Olympic,2023.0,2.0,2004,0.0,X,X,506.0,ABANDONED BUILDING ABANDONED HOUSE,,,IC,Invest Cont,Crimes against Public Order
23200    GONZALES                     DR,,34.1657,-118.6321,02/05/2020 12:00:00 AM,02/01/2020 12:00:00 AM,800.0,21.0,Topanga,2173.0,1.0,1258 1402 0527 1415 1822,13.0,F,W,509.0,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
11800    JEFFERSON                    BL,,33.9861,-118.4017,10/21/2020 12:00:00 AM,09/25/2020 12:00:00 AM,1300.0,14.0,Pacific,1465.0,1.0,1402 0344 1610,0.0,X,X,710.0,OTHER PREMISE,,,IC,Invest Cont,Property Crimes
13400    CORNELIUS                    ST,,34.2796,-118.4239,10/01/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1600.0,16.0,Foothill,1611.0,2.0,0416 0913 0429,33.0,M,H,707.0,GARAGE/CARPORT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
NOBLE,BAHAMA,34.2329,-118.461,07/09/2020 12:00:00 AM,07/08/2020 12:00:00 AM,1730.0,19.0,Mission,1972.0,1.0,,0.0,,,101.0,STREET,,,AA,Adult Arrest,Property Crimes
18700    SUNBURST                     ST,,34.2346,-118.5403,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,15.0,17.0,Devonshire,1785.0,2.0,0419 0429 0913 0361,27.0,F,W,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
1900    GLENDON                      AV,,34.0472,-118.4333,09/02/2020 12:00:00 AM,09/01/2020 12:00:00 AM,2359.0,8.0,West LA,835.0,1.0,,0.0,,,707.0,GARAGE/CARPORT,,,AA,Adult Arrest,Property Crimes
10100    BARTEE                       AV,,34.2537,-118.4355,04/08/2020 12:00:00 AM,04/08/2020 12:00:00 AM,2055.0,19.0,Mission,1959.0,2.0,0416,15.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
25TH                         ST,NEVIN,34.0147,-118.2445,12/16/2020 12:00:00 AM,12/16/2020 12:00:00 AM,140.0,13.0,Newton,1327.0,1.0,1100 0432 0430 1309 2004 1218 0913,33.0,M,H,102.0,SIDEWALK,102.0,HAND GUN,AO,Adult Other,Violent Crimes
6700    CEDROS                       AV,,34.1925,-118.4531,01/29/2021 12:00:00 AM,12/19/2020 12:00:00 AM,2251.0,9.0,Van Nuys,923.0,1.0,1302 1300 1822 0321 0344,23.0,M,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
15700    WOODVALE                     RD,,34.1529,-118.4749,07/30/2020 12:00:00 AM,07/29/2020 12:00:00 AM,1930.0,10.0,West Valley,1089.0,1.0,0344 1607 1202 1822 0379 1275 1420,74.0,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
11200    COVELLO                      ST,,34.2075,-118.3769,12/23/2020 12:00:00 AM,12/18/2020 12:00:00 AM,1330.0,15.0,N Hollywood,1506.0,2.0,0922 0377,29.0,F,H,602.0,BANK,,,IC,Invest Cont,Fraud and White-Collar Crimes
7800    CLYBOURN                     AV,,34.2121,-118.3638,05/18/2020 12:00:00 AM,05/18/2020 12:00:00 AM,420.0,16.0,Foothill,1698.0,1.0,0344 1607,63.0,M,H,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
600 E  87TH                         ST,,33.9593,-118.2651,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1500.0,18.0,Southeast,1804.0,2.0,0400 0416 1814 2000,22.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
SHERMAN                      WY,KESTER,34.2013,-118.4574,11/21/2020 12:00:00 AM,11/19/2020 12:00:00 AM,1600.0,9.0,Van Nuys,904.0,1.0,1822 1202 0344 0346 0390,78.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Property Crimes
7600    VINELAND                     AV,,34.2084,-118.3703,10/03/2020 12:00:00 AM,10/03/2020 12:00:00 AM,1930.0,16.0,Foothill,1695.0,2.0,1407,0.0,M,W,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,Crimes against Public Order
9700    WENDOVER                     DR,,34.1235,-118.429,11/28/2020 12:00:00 AM,11/27/2020 12:00:00 AM,1600.0,8.0,West LA,808.0,1.0,0382 0389 0344 0358 1609 0321 0352 1822,41.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
6000    VAN NUYS                     BL,,34.1794,-118.4487,08/19/2020 12:00:00 AM,08/18/2020 12:00:00 AM,2000.0,9.0,Van Nuys,943.0,1.0,0358 0344 1300,51.0,F,O,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
12000    STRATHERN                    ST,,34.2157,-118.3948,08/12/2020 12:00:00 AM,08/11/2020 12:00:00 AM,2330.0,16.0,Foothill,1684.0,1.0,0344 1300,27.0,F,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
LEXINGTON                    AV,LAS PALMAS                   AV,34.0926,-118.3363,11/25/2020 12:00:00 AM,11/24/2020 12:00:00 AM,1710.0,6.0,Hollywood,663.0,1.0,0400 0416 0444 0429 1814 2000 1402 0913,31.0,F,A,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
1100 E  VERNON                       AV,,34.006,-118.2513,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,126.0,13.0,Newton,1346.0,1.0,1501,44.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",506.0,FIRE,IC,Invest Cont,Property Crimes
ETON,VALERIO,34.2047,-118.5955,12/20/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1230.0,21.0,Topanga,2136.0,1.0,1822 0305 0444 0429 0416 0417,34.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
11200    LA MAIDA                     ST,,34.1584,-118.3746,11/03/2020 12:00:00 AM,09/12/2020 12:00:00 AM,1200.0,15.0,N Hollywood,1555.0,1.0,2037 0344,69.0,M,W,519.0,SHORT-TERM VACATION RENTAL,,,IC,Invest Cont,Property Crimes
4300 S  WESTERN                      AV,,34.0052,-118.3089,10/11/2020 12:00:00 AM,10/11/2020 12:00:00 AM,2215.0,3.0,Southwest,395.0,1.0,1309 0342 0344 1822 0209 0334 0346 0416 0445 0449,36.0,M,H,102.0,SIDEWALK,312.0,PIPE/METAL PIPE,IC,Invest Cont,Violent Crimes
11800    TEALE                        ST,,33.9856,-118.4007,04/27/2021 12:00:00 AM,09/01/2020 12:00:00 AM,1200.0,14.0,Pacific,1465.0,2.0,1000,0.0,X,X,710.0,OTHER PREMISE,,,IC,Invest Cont,Fraud and White-Collar Crimes
900 N  BROADWAY,,34.0615,-118.2412,11/15/2020 12:00:00 AM,11/15/2020 12:00:00 AM,1220.0,1.0,Central,111.0,1.0,1609 0344 1307 0329 1822,33.0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,Property Crimes
15700    VANOWEN                      ST,,34.1939,-118.4749,05/08/2020 12:00:00 AM,05/07/2020 12:00:00 AM,830.0,10.0,West Valley,1039.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
41ST                         PL,ALAMEDA                      ST,34.0349,-118.2436,03/09/2020 12:00:00 AM,03/07/2020 12:00:00 AM,1500.0,13.0,Newton,1307.0,2.0,1218 2004 1206 0345 1822,52.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
40TH                         PL,PALOMA,34.0101,-118.261,05/13/2020 12:00:00 AM,05/13/2020 12:00:00 AM,1430.0,13.0,Newton,1343.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
2200    COLORADO                     BL,,34.1391,-118.2141,10/10/2020 12:00:00 AM,10/10/2020 12:00:00 AM,1831.0,11.0,Northeast,1115.0,1.0,0344 0325,0.0,X,X,406.0,OTHER STORE,,,IC,Invest Cont,Property Crimes
3500    MARMION                      WY,,34.0871,-118.2141,08/26/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1200.0,11.0,Northeast,1189.0,1.0,0344 0358 0352,33.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Property Crimes
800    MILLMARK GROVE               ST,,33.7596,-118.2953,09/20/2022 12:00:00 AM,08/12/2020 12:00:00 AM,800.0,5.0,Harbor,521.0,2.0,0377,25.0,M,W,751.0,WEBSITE,,,IC,Invest Cont,Fraud and White-Collar Crimes
8700    CEDROS                       AV,,34.2265,-118.4565,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,30.0,19.0,Mission,1984.0,2.0,2038 0561,60.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Crimes against Public Order
17400    RAINBOW RIDGE                CI,,34.286,-118.5138,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,1736.0,17.0,Devonshire,1715.0,1.0,1501 0314 1606 0344 1822,49.0,M,A,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,Property Crimes
600 S  VIRGIL                       AV,,34.0637,-118.287,04/26/2020 12:00:00 AM,04/26/2020 12:00:00 AM,240.0,20.0,Olympic,2029.0,2.0,1813 1243 0913 2000 2002 0329 0400 0448 1206,27.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Violent Crimes
3300 E  OLYMPIC                      BL,,34.0191,-118.2083,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,430.0,4.0,Hollenbeck,497.0,1.0,,22.0,M,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,Property Crimes
TARLETON                     ST,16TH                         ST,34.0245,-118.244,02/24/2020 12:00:00 AM,02/24/2020 12:00:00 AM,1143.0,13.0,Newton,1317.0,1.0,1307 0358 1609 0344 1309,48.0,F,O,101.0,STREET,,,IC,Invest Cont,Property Crimes
2900    LEEWARD                      AV,,34.0587,-118.2869,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,930.0,20.0,Olympic,2039.0,2.0,2000 0913 1813,40.0,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,Crimes against Public Order
8600    BALBOA                       BL,,34.2248,-118.5151,08/10/2020 12:00:00 AM,08/09/2020 12:00:00 AM,850.0,17.0,Devonshire,1795.0,1.0,,34.0,M,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
LEIMERT                      BL,43RD                         ST,34.0054,-118.3297,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,1500.0,3.0,Southwest,393.0,1.0,0344 1822 2032,32.0,M,B,101.0,STREET,,,IC,Invest Cont,Property Crimes
5200    KESTER                       AV,,34.1649,-118.4574,12/09/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1100.0,9.0,Van Nuys,952.0,1.0,,0.0,,,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,Property Crimes
13900    VANOWEN                      ST,,34.1976,-118.4356,05/08/2020 12:00:00 AM,04/18/2020 12:00:00 AM,1200.0,9.0,Van Nuys,916.0,1.0,0344,46.0,M,B,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
600 N  PALOS VERDES                 ST,,33.7478,-118.2817,04/19/2020 12:00:00 AM,04/19/2020 12:00:00 AM,2100.0,5.0,Harbor,558.0,1.0,,0.0,,,108.0,PARKING LOT,,,IC,Invest Cont,Property Crimes
5600    IRVINGTON                    PL,,34.1152,-118.1962,12/11/2020 12:00:00 AM,12/11/2020 12:00:00 AM,1950.0,11.0,Northeast,1118.0,2.0,0913 0554 0400 0416,18.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Violent Crimes
11400    SANTA MONICA                 BL,,34.0457,-118.4511,11/17/2020 12:00:00 AM,11/15/2020 12:00:00 AM,1340.0,8.0,West LA,853.0,2.0,0100,35.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Fraud and White-Collar Crimes
GRIFFITH                     AV,24TH                         ST,34.0224,-118.2564,03/03/2020 12:00:00 AM,03/03/2020 12:00:00 AM,940.0,13.0,Newton,1323.0,2.0,2000 0444 0429 0419 0416 0356,22.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
5900 S  HOOVER                       ST,,33.9864,-118.2871,12/23/2020 12:00:00 AM,12/20/2020 12:00:00 AM,1800.0,12.0,77th Street,1239.0,1.0,1300 0344 0329,24.0,F,H,101.0,STREET,,,IC,Invest Cont,Property Crimes
COMMONWEALTH,4TH,34.0667,-118.2857,12/15/2020 12:00:00 AM,12/15/2020 12:00:00 AM,750.0,20.0,Olympic,2029.0,1.0,0319 0340 0355 0432 1402 1822 2004,41.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,Property Crimes
AVENUE 26,HURON                        ST,34.0845,-118.2232,08/12/2020 12:00:00 AM,08/12/2020 12:00:00 AM,1205.0,11.0,Northeast,1177.0,2.0,0401 0400 1253 0416 1822 0910,53.0,M,H,801.0,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
SAN FERNANDO,FLETCHER,34.1149,-118.2459,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1455.0,11.0,Northeast,1124.0,2.0,1253 0400 1822 0416 0910,40.0,F,B,801.0,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
400 E  109TH                        ST,,33.9374,-118.2681,01/29/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1130.0,18.0,Southeast,1844.0,1.0,0344 1822,37.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,Property Crimes
11500    AVIATION                     BL,,33.9298,-118.3784,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,1448.0,14.0,Pacific,1499.0,2.0,1822 0416,34.0,M,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,Violent Crimes
8500    FOOTHILL                     BL,,34.2597,-118.3179,02/21/2020 12:00:00 AM,02/21/2020 12:00:00 AM,1650.0,16.0,Foothill,1656.0,2.0,0329 0417,34.0,M,O,601.0,SAVINGS & LOAN,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,Property Crimes
1200 N  MCCADDEN                     PL,,34.0926,-118.3375,06/27/2020 12:00:00 AM,06/13/2020 12:00:00 AM,5.0,6.0,Hollywood,663.0,1.0,1300 1601 0344 0352,32.0,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,Property Crimes
107TH                        ST,MCKINLEY                     AV,33.9393,-118.2608,02/24/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1830.0,18.0,Southeast,1834.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
3600    WATSEKA                      AV,,34.0288,-118.3996,01/17/2020 12:00:00 AM,01/17/2020 12:00:00 AM,324.0,14.0,Pacific,1409.0,1.0,0344 0385 1300,23.0,M,A,101.0,STREET,,,IC,Invest Cont,Property Crimes
2000    ALLESANDRO                   ST,,34.0916,-118.2577,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,300.0,11.0,Northeast,1173.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
17500    MARGATE                      ST,,34.1677,-118.5142,11/23/2020 12:00:00 AM,11/20/2020 12:00:00 AM,1800.0,10.0,West Valley,1067.0,1.0,,0.0,,,101.0,STREET,,,IC,Invest Cont,Property Crimes
2000    OUTPOST                      DR,,34.1146,-118.3607,04/23/2020 12:00:00 AM,04/22/2020 12:00:00 AM,850.0,6.0,Hollywood,622.0,1.0,1300 1601 0344 0352,36.0,F,W,101.0,STREET,,,IC,Invest Cont,Property Crimes
6600    ALCOVE                       AV,,34.1903,-118.4128,06/26/2020 12:00:00 AM,06/26/2020 12:00:00 AM,1250.0,15.0,N Hollywood,1512.0,2.0,0421 1813 2000,39.0,F,W,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AA,Adult Arrest,Crimes against Public Order
TAMPA,HATTERAS,34.1758,-118.5535,01/16/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1220.0,10.0,West Valley,1041.0,2.0,0377 1822 0930 1402 2004,16.0,M,W,101.0,STREET,,,AA,Adult Arrest,Fraud and White-Collar Crimes
